taxonomy_id	count
447237	17
447467	8
447792	1
449972	3
453161	20
453229	16
455076	557
457933	1
458032	69
458839	1
459532	1
459786	4
460517	100
466152	16
469322	1
475230	1
478070	2
481178	2
484508	1
490731	38
496496	2
501783	3
504090	1
504465	5
504481	76
510690	9
511434	2
511678	5
511745	7
515417	95
518733	16
518753	16
526215	2
527198	85
551759	9
556178	5
556257	1
558436	2
561367	38
561555	16
568988	1
572511	10
574697	55
577309	107
583360	7
596707	9
599651	38
599653	2
622681	1
626119	9
630749	3
644355	4
644652	2
648800	3
648802	10
649460	268
649461	17
649462	17
655352	237
665568	26
665874	2
667113	2
670486	1
670516	18
673534	36
674734	5
690086	1
690591	1
745364	2
745410	18
748770	3
754249	9
762296	1
762641	1
861914	1011
866673	8
869806	25
875170	3
881616	83
885864	15
889388	2
907364	16
908623	2
909656	13
929509	26
929812	1
935200	6
946234	3
1001222	80
1004301	326
1004303	37
1006480	1
1047167	114
1052105	5053
1054211	2
1055323	32
1055688	1
1055692	1
1069494	8
1073531	12
1077254	117
1078829	7
1079922	1
1082702	8
1082930	65
1085622	6
1097443	48
1114981	21
1122283	1
1124625	1
1129544	24
1156568	7
1177214	1
1184606	6
1188227	3
1193324	8
1193503	3
1193515	4
1195526	1
1196389	6
1204360	6
1209327	5
1209946	3
1211036	8
1221209	6
1221880	8
1223423	3
1227948	2
1229970	1
1234545	8
1246884	8
1263978	3
1273155	4
1287916	12
1288026	20
1295327	3
1322061	64
1330546	2
1330547	86
1335483	2
1335745	2
1344552	3
1348505	1
1348508	17
1348611	1
1379908	441
1382832	1
1386924	8
1395974	512
1406135	20
1433986	3
1433993	155
1433995	13
1433997	2
1434007	315
1434010	35
1434011	6
1434014	2
1434019	3
1434022	2
1434037	5
1434042	1
1434045	9
1434046	25
1443919	5
1453544	11
1470540	11
1471399	172
1481960	1
1484898	5
1485594	1
1502180	33
1505652	1
1506553	2
1508451	2
1508657	1
1511649	27
1518147	104
1518149	17
1519186	3
1522056	4
1522128	36
1522201	1
1522432	105
1524217	25
1525371	665
1535207	2
1541670	2
1546255	2
1565532	15
1573407	54
1573808	1
1579505	1
1579506	3
1594166	1
1597779	2
1612157	1
1612611	178
1616789	2
1617805	4
1620790	2
1621534	1
1632780	10
1637257	1
1643951	1
1647173	1
1648491	1
1649295	2
1649298	4
1649453	17
1649454	2
1649457	12
1649459	2
1649460	69
1649461	36
1649463	1
1649466	4
1649468	1
1649474	6
1649479	2
1649480	6
1649482	33
1649486	5
1649490	1
1649495	22
1649506	2
1649510	1
1652133	7
1653174	1
1653176	23
1654787	1
1654931	2
1677050	1
1679002	1
1679449	8
1706033	6
1706036	1
1734920	2
1742983	5
1742989	6
1742992	105
1742993	222
1745211	2
1751872	4
1755825	1
1755829	1
1755832	3
1759331	6
1760987	19
1763521	1
1765964	3
1766253	2
1769012	113
1769710	11
1769726	5
1769729	1
1773450	49
1775688	3
1778601	6
1778653	5
1792291	7
1804663	1
1808977	5
1810868	2
1813601	2
1822464	125
1827195	71
1838142	41
1843210	3
1844015	3
1849822	20
1849973	2
1851468	99
1855416	20
1859128	3
1860077	2
1860196	79
1866885	481
1870884	29
1874621	6
1890059	5
1897649	1
1903434	2
1903858	18
1904377	2
1906945	6
1911549	9
1911577	8
1912215	1
1912216	4
1914449	1
1915401	2
1918385	2
1920207	2497
1920992	2
1921582	1
1921784	1
1926259	7
1929090	22
1937972	80
1960084	1
1961799	10
1964366	2
1970191	8
1980697	3
2004661	4
2005380	1
2014233	10
2023214	1
2024975	2
2025617	1
2035811	22
2038635	2
2038676	2
2038733	3
2039723	8
2040262	2
2040486	25
2041902	1
2042066	3
2045416	2
2049301	25
2051044	5
2058174	358
2060722	137
2083206	12
2093783	2
2093823	1
2100764	66
2108524	3
2109360	1
2126281	18
2163168	1
2173039	38
2175957	2
2200736	2
2211635	1
2211641	7
2233801	8
2249462	1
2250122	1
2282523	86
2282741	2
2293313	1
2301194	1
2316020	7
2321114	27
2321115	36
2478349	1
2483368	1
2489367	5
2490452	7
2518495	3
2529408	9
2569097	13
2576755	2
2593687	2
2600304	3
2609811	2965
2651279	1
2651583	4
2661800	6
2674996	1762
2675229	60
2675230	44
2675231	60
2675232	52
2675233	9
2676233	2
2676247	631
2676755	31
2676781	4
2678352	13
2678886	5
2680004	34
2680018	6
2682228	6
2683599	1
2685905	8
2685927	2
2689624	8
2690160	1
