taxon	reads
2855430	15
2705399	14
2905123	14
29330	14
3163645	14
113	14
45402	14
45667	14
2758920	14
535	14
194	13
2909705	13
2132	13
167639	13
3114547	13
909656	13
3064792	13
12960	13
1433995	13
83461	13
169133	13
2678352	13
2569097	13
1158	13
182709	13
2854186	12
10	12
120652	12
5206	12
29407	12
111782	12
1073531	12
240411	12
283735	12
292632	12
2083206	12
104204	12
893	12
1287916	12
391952	12
254250	12
1649457	12
410829	12
4780	12
2847769	12
29548	11
47251	11
265431	11
1470540	11
2812025	11
1453544	11
74030	11
1769710	11
2893576	11
40544	11
119977	11
3231549	11
2742598	10
33986	10
2822410	10
1961799	10
648802	10
142577	10
66831	10
2071	10
2758906	10
1854	10
84565	10
2789775	10
528	10
635	10
265976	10
1269	10
572511	10
28250	10
2014233	10
166484	10
1632780	10
280472	9
1434045	9
551759	9
754249	9
274591	9
510690	9
2529408	9
168934	9
267408	9
96492	9
120961	9
191028	9
2675233	9
1911549	9
367298	9
3389990	9
2937410	9
596707	9
2923290	9
626119	9
2853332	9
413	9
171436	9
2838250	9
314343	8
2685905	8
447467	8
1911577	8
1679449	8
1060	8
2944198	8
2039723	8
437504	8
2827482	8
390988	8
1234545	8
2910984	8
311181	8
1193324	8
1246884	8
1386924	8
2698753	8
290180	8
2233801	8
1082702	8
2689624	8
1970191	8
150830	8
1211036	8
2888818	8
1069494	8
60919	8
1221880	8
416	8
866673	8
583360	7
3076173	7
745	7
305899	7
157	7
2490452	7
1926259	7
59734	7
1652133	7
156973	7
120212	7
2316020	7
196013	7
511745	7
135575	7
2995704	7
1792291	7
261827	7
57495	7
2735	7
61593	7
232523	7
83654	7
28048	7
2211641	7
2824158	7
93682	7
34448	7
38501	7
1078829	7
36862	7
2767887	7
1156568	7
2767358	7
158483	7
359407	7
1221209	6
1874621	6
1085622	6
2680018	6
156885	6
1184606	6
1906945	6
45654	6
1649474	6
53	6
1434011	6
1569	6
2778400	6
810	6
1196389	6
369400	6
1706033	6
1778601	6
262	6
1649480	6
1742989	6
57494	6
2661800	6
228398	6
3129724	6
1759331	6
935200	6
2700084	6
36913	6
1204360	6
354349	6
2682228	6
2804525	6
970	6
2678886	5
335927	5
1209327	5
413435	5
511678	5
4919	5
1649486	5
1742983	5
1051	5
5500	5
2051044	5
117156	5
2867376	5
2974257	5
1484898	5
2093	5
2987605	5
2893090	5
204447	5
202907	5
2060	5
556178	5
2915177	5
1434037	5
2862745	5
1186	5
427753	5
316625	5
504465	5
401469	5
3051138	5
106633	5
2892920	5
1778653	5
1443919	5
3088764	5
1890059	5
2858886	5
890	5
2489367	5
674734	5
1769726	5
441	5
2782229	5
316612	5
3303203	5
55	5
131079	5
1808977	5
2815296	5
40	5
42	4
6	4
872	4
212744	4
1617805	4
2738399	4
644355	4
3381669	4
475	4
96	4
3236655	4
376488	4
359336	4
53392	4
270	4
1273155	4
459786	4
204476	4
2768926	4
3088889	4
3137766	4
1649298	4
1522056	4
3075137	4
34008	4
43947	4
32014	4
29465	4
2837503	4
180162	4
2916693	4
364316	4
28209	4
290425	4
244698	4
187492	4
2004661	4
2794998	4
92793	4
158481	4
214904	4
212743	4
34102	4
1912216	4
162171	4
37914	4
2651583	4
393661	4
169055	4
2893197	4
343334	4
161492	4
1193515	4
1751872	4
150203	4
2676781	4
212791	4
180541	4
302485	4
58842	4
43773	4
225143	4
365348	4
2425	4
1649466	4
404432	4
159191	4
4930	3
2951993	3
2019	3
33170	3
2056	3
3382699	3
2944195	3
449972	3
875170	3
3020832	3
3085669	3
501783	3
2995122	3
630749	3
3163251	3
3163253	3
946234	3
648800	3
3031148	3
748770	3
3236652	3
911	3
425	3
3382694	3
2919468	3
2038733	3
71655	3
2818469	3
1344552	3
2691417	3
1844015	3
2767890	3
1843210	3
46239	3
1434019	3
2767893	3
2699295	3
198251	3
83677	3
50709	3
2709666	3
76632	3
85043	3
35798	3
392332	3
1295327	3
285107	3
1263978	3
1775688	3
63132	3
56112	3
1433986	3
400060	3
2772198	3
1209946	3
358023	3
2518495	3
2831955	3
41273	3
2861660	3
2600304	3
35812	3
3076095	3
1765964	3
1755832	3
2870712	3
1519186	3
213485	3
261963	3
2800681	3
162491	3
1859128	3
89404	3
1188227	3
2108524	3
2800686	3
379070	3
42417	3
2837485	3
3400368	3
1579506	3
2042066	3
204286	3
1223423	3
207244	3
136099	3
401618	3
366614	3
28067	3
1980697	3
2893058	3
137583	3
2767889	3
1193503	3
224458	3
599653	2
1535207	2
256616	2
1649454	2
1335483	2
1649459	2
511434	2
2715289	2
2718863	2
292635	2
2024975	2
1734920	2
53365	2
100715	2
1810868	2
745364	2
1649479	2
203522	2
233191	2
2837508	2
1541670	2
2807511	2
2005	2
1649295	2
191303	2
444432	2
82976	2
2593687	2
2038676	2
32012	2
116071	2
2893055	2
1849973	2
461	2
1649506	2
2823232	2
88875	2
130795	2
1620790	2
2807415	2
3382696	2
1743	2
75687	2
2872156	2
81682	2
39845	2
2894574	2
2712688	2
665874	2
526215	2
1851	2
2420	2
393005	2
336276	2
32257	2
1227948	2
263370	2
2795783	2
1904377	2
160798	2
69965	2
160795	2
1920992	2
2815786	2
2897349	2
1433997	2
54304	2
70411	2
209	2
389486	2
28186	2
82986	2
2807497	2
2838311	2
841	2
74385	2
3300567	2
2719231	2
45662	2
1616789	2
1964366	2
2924872	2
1434022	2
3046369	2
1111	2
1234	2
2433	2
1654931	2
2800685	2
42255	2
1546255	2
496496	2
637	2
2676233	2
644652	2
2200736	2
2576755	2
1915401	2
558436	2
252306	2
2038635	2
481178	2
1330546	2
1813601	2
2040262	2
289201	2
1434014	2
155493	2
2045416	2
2886823	2
110934	2
265487	2
2719313	2
1054211	2
2800682	2
908623	2
1860077	2
265570	2
1918385	2
2953860	2
667113	2
889388	2
2175957	2
1508451	2
2692417	2
2692382	2
1597779	2
146784	2
33071	2
33981	2
1745211	2
1335745	2
3016049	2
2767877	2
50	2
2093783	2
2282741	2
13366	2
393764	2
43676	2
1903434	2
3049269	2
109262	2
1766253	2
59282	2
2685927	2
2994363	2
1021	2
478070	2
2709685	2
1506553	2
157913	1
2293313	1
1055692	1
157591	1
1434042	1
2843200	1
29487	1
1055688	1
28261	1
28219	1
400947	1
1897649	1
2483368	1
2946607	1
267849	1
1562	1
2979332	1
190972	1
2885697	1
459532	1
2994361	1
2995234	1
4951	1
1107	1
1763521	1
150247	1
762296	1
3029205	1
1505652	1
1091	1
1033	1
150022	1
2898489	1
2767842	1
2903100	1
2077	1
2907187	1
1677050	1
2050	1
71245	1
447792	1
1914449	1
2917830	1
1849	1
2923352	1
67575	1
457933	1
292486	1
458839	1
1649490	1
1679002	1
65097	1
2952773	1
147067	1
1645	1
2883109	1
59613	1
2884814	1
2987594	1
1921582	1
2683599	1
404	1
315422	1
762641	1
2893022	1
1612157	1
1769729	1
146937	1
2690160	1
929812	1
146918	1
469322	1
568988	1
146785	1
57499	1
953	1
1348611	1
3059405	1
3062336	1
56106	1
475230	1
55079	1
898	1
690086	1
323413	1
846	1
768	1
1706036	1
218207	1
3110364	1
3126963	1
2005380	1
541	1
1643951	1
3259750	1
2803850	1
2023214	1
1804663	1
167375	1
2025617	1
3382518	1
257820	1
132607	1
3389905	1
46255	1
203804	1
329857	1
2767885	1
278028	1
332102	1
2301194	1
1573808	1
347533	1
351195	1
29521	1
84756	1
157226	1
2478349	1
1649510	1
44675	1
162289	1
129337	1
44260	1
1654787	1
1006480	1
2884243	1
44259	1
2041902	1
44011	1
1522201	1
281472	1
1229970	1
200903	1
352450	1
2795377	1
364409	1
2795778	1
2795780	1
442430	1
1122283	1
2795973	1
444051	1
388463	1
109168	1
1195526	1
227979	1
208447	1
1594166	1
265488	1
2800680	1
2375	1
1912215	1
2714594	1
2093823	1
1177214	1
379065	1
2802288	1
99479	1
283168	1
1124625	1
188905	1
2943286	1
65551	1
1740	1
13724	1
28196	1
1637257	1
2109360	1
82800	1
1378	1
59753	1
2975260	1
1348505	1
283785	1
53945	1
2163168	1
53572	1
1653174	1
1579505	1
1508657	1
283810	1
288021	1
1921784	1
2995706	1
57665	1
1101	1
1382832	1
387658	1
2813804	1
79206	1
288793	1
2211635	1
2821512	1
1755825	1
2801844	1
34104	1
321315	1
939	1
1960084	1
88138	1
390876	1
690591	1
2831443	1
158851	1
2249462	1
2831916	1
2250122	1
1079922	1
830	1
1649468	1
1621534	1
230666	1
1755829	1
85076	1
2987599	1
581	1
373984	1
3118803	1
1649463	1
484508	1
3138693	1
579	1
1485594	1
3138622	1
670486	1
223785	1
2802295	1
416916	1
2803845	1
504090	1
2723776	1
1481960	1
2726810	1
2891323	1
2805645	1
118	1
2807414	1
556257	1
93	1
436357	1
3382645	1
3374594	1
36853	1
269258	1
53355	1
168808	1
51194	1
3382698	1
622681	1
1647173	1
3051499	1
1648491	1
2651279	1
