qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore	qcovhsp	staxids	sphylums	sgenus	sspecies	stitle
Pcub-MSU1_004_000028.1	ETI38632.1	43.6	140	533	656	1.10e-17	91.7	18.0	1317064;1317065	Oomycota	Phytophthora	Phytophthora nicotianae	ETI38632.1 hypothetical protein F443_15707 [Phytophthora nicotianae P1569]
Pcub-MSU1_004_000028.1	ETM38661.1	43.6	140	533	656	1.10e-17	91.7	18.0	4792	Oomycota	Phytophthora	Phytophthora nicotianae	ETM38661.1 hypothetical protein L914_15104 [Phytophthora nicotianae]
Pcub-MSU1_004_000028.1	ETK78832.1	43.6	140	533	656	1.10e-17	91.7	18.0	4792;1317063	Oomycota	Phytophthora	Phytophthora nicotianae	ETK78832.1 hypothetical protein L915_15248 [Phytophthora nicotianae]
Pcub-MSU1_004_000028.1	KUF97973.1	42.9	140	533	656	4.54e-17	89.7	18.0	4792	Oomycota	Phytophthora	Phytophthora nicotianae	KUF97973.1 Clathrin heavy chain [Phytophthora nicotianae]
Pcub-MSU1_004_000028.1	KUF80240.1	42.9	140	533	950	6.01e-17	89.7	18.0	4792	Oomycota	Phytophthora	Phytophthora nicotianae	KUF80240.1 WD repeat-containing protein 16 [Phytophthora nicotianae]
Pcub-MSU1_004_000028.1	XP_008895259.1	42.9	140	533	656	6.02e-17	89.4	18.0	761204	Oomycota	Phytophthora	Phytophthora nicotianae	XP_008895259.1 hypothetical protein PPTG_04731 [Phytophthora nicotianae INRA-310]
Pcub-MSU1_004_000028.1	ETO67387.1	42.9	140	533	656	1.06e-16	88.6	18.0	1317066	Oomycota	Phytophthora	Phytophthora nicotianae	ETO67387.1 hypothetical protein F444_15685 [Phytophthora nicotianae P1976]
Pcub-MSU1_004_000028.1	RLN32275.1	46.5	101	533	889	1.19e-14	82.4	12.8	2483409	Oomycota	Nothophytophthora	Nothophytophthora sp. Chile5	RLN32275.1 hypothetical protein BBJ28_00012065, partial [Nothophytophthora sp. Chile5]
Pcub-MSU1_004_000030.1	KAG4220899.1	26.4	159	299	259	4.09e-05	49.3	52.8	29920	Oomycota	Phytophthora	Phytophthora cactorum	KAG4220899.1 hypothetical protein PC116_g30622 [Phytophthora cactorum]
Pcub-MSU1_004_001131.1	KAG4220899.1	25.8	159	299	259	2.38e-04	47.0	52.8	29920	Oomycota	Phytophthora	Phytophthora cactorum	KAG4220899.1 hypothetical protein PC116_g30622 [Phytophthora cactorum]
Pcub-MSU1_004_001128.1	RLN51069.1	25.9	293	292	327	3.91e-04	46.6	96.2	325452	Oomycota	Phytophthora	Phytophthora kernoviae	RLN51069.1 hypothetical protein BBP00_00009975 [Phytophthora kernoviae]
Pcub-MSU1_004_001128.1	KAG1690465.1	25.9	259	292	299	4.82e-04	46.2	86.3	4784	Oomycota	Phytophthora	Phytophthora capsici	KAG1690465.1 hypothetical protein DVH05_028140 [Phytophthora capsici]
Pcub-MSU1_004_001126.1	XP_009538857.1	76.1	234	313	657	5.77e-118	358	71.2	67593	Oomycota	Phytophthora	Phytophthora sojae	XP_009538857.1 hypothetical protein PHYSODRAFT_532549 [Phytophthora sojae]
Pcub-MSU1_004_001126.1	KAG3120702.1	75.4	232	313	654	4.22e-117	355	71.2	53986	Oomycota	Phytophthora	Phytophthora idaei	KAG3120702.1 hypothetical protein PI125_g915 [Phytophthora idaei]
Pcub-MSU1_004_001126.1	KAE9357244.1	75.2	234	313	657	9.13e-117	355	71.2	129364	Oomycota	Phytophthora	Phytophthora rubi	KAE9357244.1 hypothetical protein PR003_g1893 [Phytophthora rubi]
Pcub-MSU1_004_001126.1	KAE9362448.1	75.2	234	313	657	9.13e-117	355	71.2	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE9362448.1 hypothetical protein PF008_g60 [Phytophthora fragariae]
Pcub-MSU1_004_001126.1	KAE8950374.1	75.2	234	313	657	9.13e-117	355	71.2	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE8950374.1 hypothetical protein PF009_g74 [Phytophthora fragariae]
Pcub-MSU1_004_001126.1	KAG2791016.1	73.9	234	313	656	1.25e-116	354	71.2	29920	Oomycota	Phytophthora	Phytophthora cactorum	KAG2791016.1 hypothetical protein Pcac1_g143 [Phytophthora cactorum]
Pcub-MSU1_004_001126.1	GMF34158.1	74.6	236	313	837	1.33e-116	359	71.9	1490495	Oomycota	Phytophthora	Phytophthora fragariaefolia	GMF34158.1 unnamed protein product [Phytophthora fragariaefolia]
Pcub-MSU1_004_001126.1	GMF12022.1	73.9	234	313	656	7.04e-116	352	71.2	2077276	Oomycota	Phytophthora	Phytophthora lilii	GMF12022.1 unnamed protein product [Phytophthora lilii]
