id	source	Description	rnaseq_gene_count_Pcub_MSU1_3dpi	rnaseq_gene_count_Pcub_MSU1_4dpi	rnaseq_gene_count_Pcub_MSU1_5dpi	rnaseq_gene_count_Pcub_MSU1_6dpi
Pcub-MSU1_008_000826.1	blastp	Homology to Phytophthora sojae predicted protein XP_009530420.1	23	34	61	102
Pcub-MSU1_008_000039.1	eggnog	WD40 repeats	14	25	59	90
Pcub-MSU1_008_000825.1	eggnog	Required for cytoplasmic pre-assembly of axonemal dyneins, thereby playing a central role in motility in cilia and flagella	35	28	30	92
Pcub-MSU1_008_000040.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6969076.1	2	4	10	6
Pcub-MSU1_008_000041.1	blastp	Homology to Phytophthora idaei predicted protein KAG3102483.1	0	4	5	14
Pcub-MSU1_008_000824.1	eggnog	RNA recognition motif	27	27	38	81
Pcub-MSU1_008_000042.1	eggnog	RNA polymerase Rpb6	38	111	175	212
Pcub-MSU1_008_000823.1	eggnog	domain-containing protein	62	73	67	279
Pcub-MSU1_008_000043.1	blastp	Homology to Phytophthora megakarya predicted protein OWY99651.1	11	12	20	36
Pcub-MSU1_008_000044.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_008_000045.1	unannotated	Hypothetical protein of unknown function	0	0	1	1
Pcub-MSU1_008_000046.1	eggnog	domain-containing protein	0	0	0	0
Pcub-MSU1_008_000047.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7386601.1	3	0	1	0
Pcub-MSU1_008_000048.1	eggnog	domain-containing protein	666	658	983	1656
Pcub-MSU1_008_000049.1	eggnog	Essential subunit of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser Thr consensus motif in nascent polypeptide chains	146	345	377	435
Pcub-MSU1_008_000050.1	blastp	Homology to Hyaloperonospora brassicae predicted protein CAI5729708.1	0	4	4	3
Pcub-MSU1_008_000822.1	eggnog	domain-containing protein	226	1031	981	1142
Pcub-MSU1_008_000051.1	blastp	Homology to Phytophthora palmivora predicted protein POM73975.1	16	26	36	60
Pcub-MSU1_008_000052.1	interproscan	PTHR38899 domain-containing protein	18	61	44	80
Pcub-MSU1_008_000821.1	eggnog	axoneme assembly	2	5	2	21
Pcub-MSU1_008_000053.1	eggnog	Short calmodulin-binding motif containing conserved Ile and Gln residues	1	3	4	6
Pcub-MSU1_008_000820.1	eggnog	domain-containing protein	96	96	149	275
Pcub-MSU1_008_000819.1	eggnog	Mitochondrial carrier protein	23	34	45	54
Pcub-MSU1_008_000054.1	eggnog	Required for ribosome biogenesis	20	95	197	238
Pcub-MSU1_008_000818.1	eggnog	domain-containing protein	4	28	38	54
Pcub-MSU1_008_000055.1	eggnog	Helix-turn-helix XRE-family like proteins	331	798	1217	1382
Pcub-MSU1_008_000056.1	blastp	Homology to Phytophthora rubi predicted protein KAE9000119.1	0	1	6	12
Pcub-MSU1_008_000817.1	eggnog	Transmembrane proteins 14C	59	205	183	255
Pcub-MSU1_008_000057.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7491743.1	62	140	100	199
Pcub-MSU1_008_000058.1	blastp	Homology to Phytophthora fragariae predicted protein KAE9309415.1	21	28	108	113
Pcub-MSU1_008_000816.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0474658.1	585	919	1216	1585
Pcub-MSU1_008_000815.1	eggnog	60s Acidic ribosomal protein	1543	2510	3783	4151
Pcub-MSU1_008_000059.1	eggnog	Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin	43	58	99	142
Pcub-MSU1_008_000814.1	eggnog	Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP	112.672	51.323	259.48	361.43
Pcub-MSU1_008_000060.1	eggnog	Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP	97.328	131.677	214.52	323.57
Pcub-MSU1_008_000061.1	eggnog	Phosphopantetheine attachment site	0	0	7	0
Pcub-MSU1_008_000062.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	23.196	26.828	76.212	37.827
Pcub-MSU1_008_000813.1	eggnog	domain-containing protein	24.055	38.879	39.893	59.481
Pcub-MSU1_008_000812.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	2	0	0
Pcub-MSU1_008_000063.1	eggnog	domain-containing protein	6.945	15.121	25.107	35.519
Pcub-MSU1_008_000811.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	141.804	188.172	262.788	206.173
Pcub-MSU1_008_000810.1	eggnog	domain-containing protein	132	132	200	251
Pcub-MSU1_008_000064.1	interproscan	PTHR36074 domain-containing protein	33	175	179	231
Pcub-MSU1_008_000065.1	eggnog	Histidine biosynthesis protein	13.557	44.044	52.857	59.457
Pcub-MSU1_008_000809.1	eggnog	CSN8/PSMD8/EIF3K family	8	8.909	11.207	31
Pcub-MSU1_008_000808.1	eggnog	CSN8/PSMD8/EIF3K family	47	44.433	66	86.941
Pcub-MSU1_008_000807.1	eggnog	Glutathione peroxidase	91	142	146	210
Pcub-MSU1_008_000066.1	eggnog	Zinc finger, C3HC4 type (RING finger)	30	33	61	93
Pcub-MSU1_008_000067.1	eggnog	Alanine-glyoxylate amino-transferase	418	666	920	1277
Pcub-MSU1_008_000806.1	eggnog	MYND finger	197	227	366	387
Pcub-MSU1_008_000805.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	0	0	0
Pcub-MSU1_008_000068.1	eggnog	domain-containing protein	6	2	0	6
Pcub-MSU1_008_000804.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	0	0	0
Pcub-MSU1_008_000069.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	2	0	0
Pcub-MSU1_008_000070.1	eggnog	domain-containing protein	1	0	0	1
Pcub-MSU1_008_000803.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_008_000802.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	0	0	0
Pcub-MSU1_008_000071.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	0	0	0
Pcub-MSU1_008_000072.1	eggnog	domain-containing protein	0	0	0	0
Pcub-MSU1_008_000801.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	0	0	0
Pcub-MSU1_008_000073.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	0	0	0
Pcub-MSU1_008_000074.1	eggnog	domain-containing protein	0	0	0	0
Pcub-MSU1_008_000800.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	0	0	0
Pcub-MSU1_008_000075.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	0	0	0
Pcub-MSU1_008_000076.1	eggnog	transposition, RNA-mediated	0	0	0	0
Pcub-MSU1_008_000077.1	eggnog	domain-containing protein	0	1	0	0
Pcub-MSU1_008_000078.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	0	0	0
Pcub-MSU1_008_000079.1	eggnog	domain-containing protein	0	0	0	1
Pcub-MSU1_008_000080.1	eggnog	domain-containing protein	1	0	2	7
Pcub-MSU1_008_000799.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	3	0	0
Pcub-MSU1_008_000081.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	0	0	0
Pcub-MSU1_008_000082.1	eggnog	domain-containing protein	0	0	3	1
Pcub-MSU1_008_000083.1	eggnog	domain-containing protein	0	0	0	0
Pcub-MSU1_008_000798.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	0	0	0
Pcub-MSU1_008_000084.1	eggnog	domain-containing protein	0	0	0	0
Pcub-MSU1_008_000797.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	0	0	0
Pcub-MSU1_008_000085.1	eggnog	Cys/Met metabolism PLP-dependent enzyme	0	4.567	0	1.059
Pcub-MSU1_008_000086.1	eggnog	CSN8/PSMD8/EIF3K family	38	30.091	42.793	72
Pcub-MSU1_008_000796.1	eggnog	Histidine biosynthesis protein	12.443	21.956	42.143	38.543
Pcub-MSU1_008_000795.1	unannotated	Hypothetical protein of unknown function	7	47	37	46
Pcub-MSU1_008_000794.1	blastp	Homology to Peronospora destructor predicted protein CAI5714946.1	192	280	583	927
Pcub-MSU1_008_000793.1	eggnog	WD domain, G-beta repeat	12	24	42	70
Pcub-MSU1_008_000087.1	blastp	Homology to Phytophthora lilii predicted protein GMF64956.1	0	0	2	2
Pcub-MSU1_008_000792.1	eggnog	MED6 mediator sub complex component	40	57	132	149
Pcub-MSU1_008_000088.1	eggnog	Splicing factor 3B subunit 10 (SF3b10)	18	57	49	59
Pcub-MSU1_008_000089.1	unannotated	Hypothetical protein of unknown function	0	0	0	1
Pcub-MSU1_008_000090.1	blastp	Homology to Phytophthora fragariae;Phytophthora rubi predicted protein KAE8896107.1	2	2	7	24
Pcub-MSU1_008_000791.1	eggnog	FKBP-type peptidyl-prolyl cis-trans isomerase	0	0	1	1
Pcub-MSU1_008_000790.1	eggnog	Sugar efflux transporter for intercellular exchange	21	29	52	59
Pcub-MSU1_008_000091.1	eggnog	domain-containing protein	54	44	67	100
Pcub-MSU1_008_000092.1	unannotated	Hypothetical protein of unknown function	1	9	4	5
Pcub-MSU1_008_000789.1	unannotated	Hypothetical protein of unknown function	78	127	67	146
Pcub-MSU1_008_000093.1	eggnog	domain-containing protein	11	33	40	76
Pcub-MSU1_008_000788.1	eggnog	transcription by RNA polymerase I	7	5	42	45
Pcub-MSU1_008_000094.1	eggnog	domain-containing protein	188	356	539	628
Pcub-MSU1_008_000787.1	eggnog	TFIIIC subunit	11	8	41	51
Pcub-MSU1_008_000095.1	eggnog	B-Box-type zinc finger	7	5	36	60
Pcub-MSU1_008_000786.1	eggnog	Domain found in IF2B/IF5	52	39	186	304
Pcub-MSU1_008_000096.1	eggnog	Domain in homologues of a S	33	68	161	139
Pcub-MSU1_008_000097.1	eggnog	Domain in homologues of a S	19	26	48	95
Pcub-MSU1_008_000098.1	blastp	Homology to Peronospora farinosa;Peronospora effusa predicted protein RMX69999.1	12	29	35	66
Pcub-MSU1_008_000785.1	eggnog	DNA binding domain with preference for A/T rich regions	25	43	66	82
Pcub-MSU1_008_000099.1	blastp	Homology to Peronospora farinosa;Peronospora effusa predicted protein RMX69972.1	110	296	257	404
Pcub-MSU1_008_000784.1	eggnog	Nucleoporin complex subunit 54	78	80	149	185
Pcub-MSU1_008_000100.1	eggnog	protein transport	28	24	39	109
Pcub-MSU1_008_000101.1	eggnog	EXS family	13	10	33	46
Pcub-MSU1_008_000783.1	eggnog	WD40 repeats	15	2	27	34
Pcub-MSU1_008_000102.1	eggnog	domain-containing protein	341	333	442	868
Pcub-MSU1_008_000782.1	interproscan	PTHR47169 domain-containing protein	8	33	56	109
Pcub-MSU1_008_000781.1	interproscan	PTHR33889 domain-containing protein	7	4	22	11
Pcub-MSU1_008_000103.1	eggnog	Dolichol-phosphate mannosyltransferase subunit 3 (DPM3)	41	82	81	77
Pcub-MSU1_008_000104.1	eggnog	TFIIB zinc-binding	17	12	68	88
Pcub-MSU1_008_000780.1	blastp	Homology to Phytophthora infestans predicted protein XP_002898498.1	52	33	57	104
Pcub-MSU1_008_000105.1	eggnog	Ubiquitin-conjugating enzyme	36	70	83	124
Pcub-MSU1_008_000779.1	eggnog	Armadillo/beta-catenin-like repeats	16	8	22	29
Pcub-MSU1_008_000106.1	interproscan	PTHR31996 domain-containing protein	8	6	9	25
Pcub-MSU1_008_000778.1	eggnog	Cytidylyltransferase-like	26.483	13.16	20.073	45.164
Pcub-MSU1_008_000107.1	eggnog	Rgp1	36	64	60	103
Pcub-MSU1_008_000108.1	eggnog	Cytidylyltransferase-like	174.517	261.84	400.927	573.836
Pcub-MSU1_008_000777.1	eggnog	Ciliary basal body-associated, B9 protein	7	5	15	5
Pcub-MSU1_008_000109.1	eggnog	protein N-linked glycosylation (TMEM258)	233	254	545	710
Pcub-MSU1_008_000776.1	eggnog	domain-containing protein	32	67	93	104
Pcub-MSU1_008_000775.1	blastp	Homology to Phytophthora citrophthora predicted protein KAK1943485.1	0	10	17	18
Pcub-MSU1_008_000110.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_008_000111.1	eggnog	EB1-like C-terminal motif	135	133	289	374
Pcub-MSU1_008_000112.1	eggnog	The ARF-like 2 binding protein BART	26	46	49	69
Pcub-MSU1_008_000774.1	eggnog	Short calmodulin-binding motif containing conserved Ile and Gln residues	1	0	17	13
Pcub-MSU1_008_000773.1	eggnog	Leucine-rich repeats, outliers	13	23	24	24
Pcub-MSU1_008_000772.1	blastp	Homology to Phytophthora cactorum predicted protein KAG3228131.1	0	0	4	5
Pcub-MSU1_008_000771.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_008_000770.1	eggnog	Minichromosome loss protein, Mcl1, middle region	16	33	74	98
Pcub-MSU1_008_000113.1	eggnog	Phosducin	55	78	95	135
Pcub-MSU1_008_000769.1	eggnog	Glu-tRNAGln amidotransferase C subunit	12	36	80	46
Pcub-MSU1_008_000114.1	blastp	Homology to Phytophthora palmivora predicted protein POM77648.1	5	3	2	8
Pcub-MSU1_008_000768.1	eggnog	domain-containing protein	3	20	12	27
Pcub-MSU1_008_000115.1	eggnog	snRNP Sm proteins	21	101	92	104
Pcub-MSU1_008_000767.1	eggnog	Glutamine cyclotransferase	24	54	59	96
Pcub-MSU1_008_000116.1	eggnog	Yos1-like	12	17	23	16
Pcub-MSU1_008_000117.1	eggnog	non-SMC mitotic condensation complex subunit 1	140	94	230	414
Pcub-MSU1_008_000766.1	interproscan	G3DSA:6.20.250.70 domain-containing protein	17	22	64	93
Pcub-MSU1_008_000765.1	blastp	Homology to Phytophthora citrophthora predicted protein KAK1943500.1	160.105	101.557	239.607	490.923
Pcub-MSU1_008_000118.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6613849.1	162.895	175.443	244.393	495.077
Pcub-MSU1_008_000119.1	eggnog	domain-containing protein	20	23	51	65
Pcub-MSU1_008_000764.1	blastp	Homology to Phytophthora fragariae;Phytophthora rubi predicted protein KAE8896489.1	59	62	109	116
Pcub-MSU1_008_000763.1	eggnog	DREV methyltransferase	3	25	22	41
Pcub-MSU1_008_000120.1	eggnog	FAD-dependent monooxygenase required for the C5-ring hydroxylation during ubiquinone biosynthesis	105	94	220	306
Pcub-MSU1_008_000762.1	eggnog	PIG-P	2	10	35	41
Pcub-MSU1_008_000761.1	interproscan	PTHR28165 domain-containing protein	0	0	0	0
Pcub-MSU1_008_000760.1	eggnog	Voltage gated chloride channel	61	50	71	102
Pcub-MSU1_008_000121.1	eggnog	translation initiation factor activity	63	80	142	208
Pcub-MSU1_008_000122.1	blastp	Homology to Peronospora effusa predicted protein RMX70006.1	26	68	89	88
Pcub-MSU1_008_000123.1	eggnog	Serine hydrolase (FSH1)	1	1	16	19
Pcub-MSU1_008_000124.1	eggnog	domain-containing protein	73	130	272	312
Pcub-MSU1_008_000125.1	blastp	Homology to Phytophthora rubi predicted protein KAE9031757.1	0	3	16	15
Pcub-MSU1_008_000759.1	eggnog	intraciliary anterograde transport	26	32	33	114
Pcub-MSU1_008_000126.1	eggnog	Enhancer of rudimentary	94	167	232	272
Pcub-MSU1_008_000127.1	eggnog	domain-containing protein	18	31	48	62
Pcub-MSU1_008_000128.1	eggnog	IFT27, Ras superfamily GTPase. Source PGD	3	3	3	20
Pcub-MSU1_008_000758.1	interproscan	PTHR31142 domain-containing protein	25	58	77	106
Pcub-MSU1_008_000129.1	eggnog	COPI associated protein	78	180	219	287
Pcub-MSU1_008_000757.1	eggnog	Cytochrome P450	219	321	594	1112
Pcub-MSU1_008_000130.1	unannotated	Hypothetical protein of unknown function	0	0	0	1
Pcub-MSU1_008_000131.1	eggnog	domain-containing protein	0	0	4	0
Pcub-MSU1_008_000132.1	eggnog	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A	54	138	288	364
Pcub-MSU1_008_000133.1	blastp	Homology to Phytophthora cactorum predicted protein KAF1790652.1	66	32	83	345
Pcub-MSU1_008_000134.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008908736.1	3	2	13	24
Pcub-MSU1_008_000135.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2834106.1	0	1	0	4
Pcub-MSU1_008_000756.1	eggnog	Phosphatidic acid phosphatase. Source PGD	0	0	0	0
Pcub-MSU1_008_000755.1	eggnog	PAP2 superfamily	4	9	21	11
Pcub-MSU1_008_000136.1	eggnog	domain-containing protein	55	28	34	77
Pcub-MSU1_008_000754.1	eggnog	Phosphomannose isomerase type I	6	10	12	23
Pcub-MSU1_008_000137.1	eggnog	HIT zinc finger	0	7	6	10
Pcub-MSU1_008_000138.1	eggnog	Clp protease	85	115	89	134
Pcub-MSU1_008_000753.1	eggnog	serine-type peptidase activity	49	63	144	214
Pcub-MSU1_008_000752.1	eggnog	serine-type peptidase activity	11	8	5	11
Pcub-MSU1_008_000751.1	eggnog	Signal peptidase, peptidase S26	6	14	15	13
Pcub-MSU1_008_000139.1	eggnog	ELMO domain-containing protein	1	0	12	19
Pcub-MSU1_008_000750.1	eggnog	Coiled-coil domain-containing protein 24 family	11	36	41	47
Pcub-MSU1_008_000749.1	eggnog	Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit	30	0	35	54
Pcub-MSU1_008_000140.1	eggnog	domain-containing protein	32	30	77	111
Pcub-MSU1_008_000141.1	eggnog	Belongs to the small GTPase superfamily	4	8	9	11
Pcub-MSU1_008_000748.1	eggnog	Apyrase	16	29	57	111
Pcub-MSU1_008_000142.1	eggnog	protein-cysteine S-palmitoyltransferase activity	0	0	1	4
Pcub-MSU1_008_000143.1	eggnog	60s Acidic ribosomal protein	143	223	467	405
Pcub-MSU1_008_000747.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008908768.1	2	33	14	29
Pcub-MSU1_008_000144.1	eggnog	domain-containing protein	35	36	44	82
Pcub-MSU1_008_000746.1	eggnog	Ribosomal protein S17. Source PGD	6	15	32	26
Pcub-MSU1_008_000145.1	interproscan	PTHR13164 domain-containing protein	27	39	24	36
Pcub-MSU1_008_000745.1	eggnog	WD40 repeats	27	38	55	87
Pcub-MSU1_008_000744.1	eggnog	Box c d snorna protein	7	9	26	18
Pcub-MSU1_008_000146.1	eggnog	heat shock protein binding	11	28	68	73
Pcub-MSU1_008_000147.1	eggnog	transcription, DNA-templated (zglp1)	39	30	72	76
Pcub-MSU1_008_000743.1	eggnog	heat shock protein binding	34	73	122	163
Pcub-MSU1_008_000148.1	unannotated	Hypothetical protein of unknown function	17	15	19	28
Pcub-MSU1_008_000742.1	eggnog	ABC transporter	0	0	0	0
Pcub-MSU1_008_000149.1	eggnog	Hinge domain of cleavage stimulation factor subunit 2	0	0	0	0
Pcub-MSU1_008_000741.1	eggnog	Eukaryotic rRNA processing protein EBP2	1	6	11	13
Pcub-MSU1_008_000740.1	eggnog	The purine nucleoside phosphorylases catalyze the phosphorolytic breakdown of the N-glycosidic bond in the beta- (deoxy)ribonucleoside molecules, with the formation of the corresponding free purine bases and pentose-1-phosphate	39	117	108	136
Pcub-MSU1_008_000150.1	eggnog	Snf7	59	71	113	209
Pcub-MSU1_008_000739.1	eggnog	Rab GTPase binding (WDR44)	1	0	7	11
Pcub-MSU1_008_000151.1	eggnog	Tetratricopeptide repeat	52	29	26	104
Pcub-MSU1_008_000738.1	eggnog	Exosome component EXOSC1/CSL4	9	9	19	29
Pcub-MSU1_008_000737.1	interproscan	G3DSA:3.40.30.10 domain-containing protein	16	20	65	77
Pcub-MSU1_008_000152.1	eggnog	negative regulation of mRNA splicing, via spliceosome	18	60	55	82
Pcub-MSU1_008_000736.1	eggnog	DNA clamp loader activity	29	37	86	103
Pcub-MSU1_008_000735.1	eggnog	SSXT protein (N-terminal region)	23	44	55	68
Pcub-MSU1_008_000153.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7491585.1	17	47	100	108
Pcub-MSU1_008_000154.1	unannotated	Hypothetical protein of unknown function	0	0	0	1
Pcub-MSU1_008_000155.1	eggnog	Iron-sulphur cluster biosynthesis	7	28	31	42
Pcub-MSU1_008_000734.1	eggnog	domain-containing protein	0	0	11	5
Pcub-MSU1_008_000733.1	eggnog	domain-containing protein	98	132	250	352
Pcub-MSU1_008_000732.1	eggnog	Eukaryotic porin	698	631	1101	1617
Pcub-MSU1_008_000156.1	eggnog	Eukaryotic porin	828	1140	2305	3069
Pcub-MSU1_008_000731.1	eggnog	EF-hand domain pair	0	0	12	3
Pcub-MSU1_008_000730.1	eggnog	domain-containing protein	13	14	69	59
Pcub-MSU1_008_000729.1	eggnog	Translationally controlled tumour protein	563	1075	1695	2025
Pcub-MSU1_008_000157.1	blastp	Homology to Phytophthora capsici predicted protein KAG1693233.1	15	9	14	54
Pcub-MSU1_008_000728.1	eggnog	positive regulation of Golgi to plasma membrane protein transport	6	16	18	23
Pcub-MSU1_008_000158.1	eggnog	Complex 1 protein (LYR family)	25	32	77	78
Pcub-MSU1_008_000159.1	eggnog	Protein of unknown function (DUF410)	41	47.343	56	56
Pcub-MSU1_008_000727.1	eggnog	domain-containing protein	23	25	86	146
Pcub-MSU1_008_000160.1	interproscan	PTHR13510 domain-containing protein	5	3	16	20
Pcub-MSU1_008_000726.1	eggnog	domain-containing protein	52	32	100	140
Pcub-MSU1_008_000161.1	interproscan	Origin recognition complex subunit 6 (G3DSA:1.10.472.10:FF:000456)	29	20	43	84
Pcub-MSU1_008_000725.1	eggnog	Sin-like protein conserved region	8	6	56	55
Pcub-MSU1_008_000162.1	blastp	Homology to Peronospora destructor predicted protein CAI5739198.1	16	33	22	72
Pcub-MSU1_008_000724.1	interproscan	PTHR37845 domain-containing protein	79	276	281	312
Pcub-MSU1_008_000163.1	eggnog	Sedlin, N-terminal conserved region	5	22	32	26
Pcub-MSU1_008_000723.1	eggnog	Ribosomal protein S19e	1254	2540	2778	3404
Pcub-MSU1_008_000164.1	eggnog	Nucleolar protein NOP5. Source PGD	47	70	283	485
Pcub-MSU1_008_000722.1	eggnog	Protein of unknown function (DUF2012)	122	318	376	467
Pcub-MSU1_008_000721.1	eggnog	Protein of unknown function (DUF410)	89	95.657	138	199
Pcub-MSU1_008_000165.1	eggnog	Domain of unknown function (DUF2088)	169	182	200	310
Pcub-MSU1_008_000720.1	interproscan	PTHR13344 domain-containing protein	87	128	230	261
Pcub-MSU1_008_000719.1	eggnog	domain-containing protein	6	4	7	16
Pcub-MSU1_008_000166.1	eggnog	ETC complex I subunit conserved region	135	235	417	463
Pcub-MSU1_008_000718.1	eggnog	domain-containing protein	4	14	37	48
Pcub-MSU1_008_000167.1	eggnog	Ubiquinol-cytochrome C chaperone	10	29	85	81
Pcub-MSU1_008_000717.1	eggnog	Cytochrome c oxidase biogenesis protein Cmc1 like	16	37	18	32
Pcub-MSU1_008_000168.1	eggnog	Tim10/DDP family zinc finger	8	16	20	29
Pcub-MSU1_008_000716.1	eggnog	Ribosomal protein S21e	1166	2365	2405	2770
Pcub-MSU1_008_000169.1	eggnog	Prefoldin subunit	41	47	132	165
Pcub-MSU1_008_000715.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6970567.1	7	1	21	32
Pcub-MSU1_008_000170.1	eggnog	Carrier of the growing fatty acid chain in fatty acid biosynthesis	250	458	714	866
Pcub-MSU1_008_000714.1	eggnog	rRNA processing	21	53	70	90
Pcub-MSU1_008_000713.1	eggnog	Zinc-ribbon, C4HC2 type	9	0	31	52
Pcub-MSU1_008_000712.1	eggnog	Nitroreductase family	52	100	92	170
Pcub-MSU1_008_000171.1	eggnog	adenyl-nucleotide exchange factor activity	34	131	226	157
Pcub-MSU1_008_000711.1	eggnog	Mitochondrial matrix Mmp37	14	21	30	68
Pcub-MSU1_008_000172.1	eggnog	Sec61beta family	105	182	278	387
Pcub-MSU1_008_000710.1	eggnog	DNA polymerase phi	13	30	148	201
Pcub-MSU1_008_000709.1	eggnog	domain-containing protein	28	61	88	154
Pcub-MSU1_008_000708.1	eggnog	SCO1/SenC	45	66	159	166
Pcub-MSU1_008_000173.1	eggnog	N-acetyltransferase B complex (NatB) non catalytic subunit	83	115	183	306
Pcub-MSU1_008_000707.1	interproscan	PTHR37067 domain-containing protein	0	0	0	0
Pcub-MSU1_008_000706.1	eggnog	transposition, RNA-mediated	0	0	0	0
Pcub-MSU1_008_000705.1	eggnog	F-box-like	5	8	15	22
Pcub-MSU1_008_000174.1	eggnog	mitochondrial electron transport, NADH to ubiquinone	125	202	280	340
Pcub-MSU1_008_000704.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008911263.1	0	2	10	12
Pcub-MSU1_008_000175.1	eggnog	3-oxo-5-alpha-steroid 4-dehydrogenase	17	31	50	34
Pcub-MSU1_008_000703.1	eggnog	G10 protein	13	19	36	44
Pcub-MSU1_008_000702.1	eggnog	ABC-2 family transporter protein	11	6	4	13
Pcub-MSU1_008_000176.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2761045.1	6	45	85	105
Pcub-MSU1_008_000701.1	blastp	Homology to Peronospora effusa predicted protein UIZ25444.1	0	4	2	0
Pcub-MSU1_008_000177.1	eggnog	Catalyzes the hydroxylation of the N(6)-(4-aminobutyl)- L-lysine intermediate to form hypusine, an essential post- translational modification only found in mature eIF-5A factor	30	71	143	151
Pcub-MSU1_008_000700.1	eggnog	HECT-like Ubiquitin-conjugating enzyme (E2)-binding	14	20	38	34
Pcub-MSU1_008_000178.1	eggnog	PhoX homologous domain, present in p47phox and p40phox	26	43	114	148
Pcub-MSU1_008_000699.1	eggnog	snRNP Sm proteins	70	80	147	195
Pcub-MSU1_008_000698.1	eggnog	Ubiquitin carboxyl-terminal hydrolase, family 1	0	1	0	0
Pcub-MSU1_008_000179.1	eggnog	Ubiquitin carboxyl-terminal hydrolase, family 1	0	0	0	0
Pcub-MSU1_008_000180.1	eggnog	Ubiquitin carboxyl-terminal hydrolase, family 1	0	0	0	1.093
Pcub-MSU1_008_000181.1	eggnog	transposition, RNA-mediated	0	0	0	0
Pcub-MSU1_008_000182.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_008_000183.1	eggnog	Ubiquitin carboxyl-terminal hydrolase, family 1	0	0	0	0
Pcub-MSU1_008_000184.1	eggnog	transposition, RNA-mediated	0	0	0	0
Pcub-MSU1_008_000185.1	eggnog	transposition, RNA-mediated	0	0	0	0
Pcub-MSU1_008_000186.1	eggnog	transposition, RNA-mediated	0	0	0	0
Pcub-MSU1_008_000187.1	eggnog	transposition, RNA-mediated	0	0	0	0
Pcub-MSU1_008_000188.1	eggnog	Ubiquitin carboxyl-terminal hydrolase, family 1	43	58	128	156.907
Pcub-MSU1_008_000697.1	eggnog	cellular macromolecule catabolic process	56	76	141	184
Pcub-MSU1_008_000189.1	eggnog	Signal recognition particle receptor beta subunit	6	26	34	34
Pcub-MSU1_008_000696.1	eggnog	domain-containing protein	42	96	223	274
Pcub-MSU1_008_000190.1	interproscan	PTHR18879 domain-containing protein	29	13	76	103
Pcub-MSU1_008_000695.1	eggnog	Cotranslationally removes the N-terminal methionine from nascent proteins	62	139	236	284
Pcub-MSU1_008_000694.1	blastp	Homology to Peronospora effusa predicted protein RMX70171.1	2	0	6	13
Pcub-MSU1_008_000693.1	eggnog	Tim17/Tim22/Tim23/Pmp24 family	46	71	151	195
Pcub-MSU1_008_000692.1	eggnog	prohibitin homologues	184	371	803	833
Pcub-MSU1_008_000191.1	eggnog	domain-containing protein	2975	4231	6628	8151
Pcub-MSU1_008_000691.1	eggnog	Ring finger	65	52	99	162
Pcub-MSU1_008_000690.1	unannotated	Hypothetical protein of unknown function	1	18	27	28
Pcub-MSU1_008_000689.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
