id	source	Description	rnaseq_gene_count_Pcub_MSU1_3dpi	rnaseq_gene_count_Pcub_MSU1_4dpi	rnaseq_gene_count_Pcub_MSU1_5dpi	rnaseq_gene_count_Pcub_MSU1_6dpi
Pcub-MSU1_001_000051.1	eggnog	4-hydroxyphenylpyruvate dioxygenase	672	801	1424	1788
Pcub-MSU1_001_000920.1	blastp	Homology to Peronospora effusa predicted protein RMX66757.1	13	27	64	106
Pcub-MSU1_001_000919.1	interproscan	PTHR12825 domain-containing protein	10	16	24	29
Pcub-MSU1_001_000052.1	eggnog	Vacuolar-sorting-associated 13 protein C-terminal	49	44	106	182
Pcub-MSU1_001_000918.1	eggnog	Lipase (class 3)	57	95	95	152
Pcub-MSU1_001_000053.1	eggnog	Rab subfamily of small GTPases	92	153	251	276
Pcub-MSU1_001_000917.1	interproscan	PTHR33946 domain-containing protein	158	313	316	545
Pcub-MSU1_001_000054.1	eggnog	Belongs to the glycosyl hydrolase 31 family	616.189	610.073	1016.832	1806.478
Pcub-MSU1_001_000055.1	unannotated	Hypothetical protein of unknown function	8	24	31	30
Pcub-MSU1_001_000916.1	blastp	Homology to Peronospora farinosa predicted protein CAH0485166.1	10.894	19.732	29.168	51.009
Pcub-MSU1_001_000056.1	eggnog	Belongs to the glycosyl hydrolase 31 family	10.677	1.774	27.315	51.659
Pcub-MSU1_001_000915.1	unannotated	Hypothetical protein of unknown function	0	0	1	5
Pcub-MSU1_001_000914.1	eggnog	Belongs to the glycosyl hydrolase 31 family	41.089	60.351	97.136	164.577
Pcub-MSU1_001_000057.1	blastp	Homology to Peronospora farinosa predicted protein CAH0485166.1	6.774	29.876	34.347	62.01
Pcub-MSU1_001_000913.1	unannotated	Hypothetical protein of unknown function	3	0	0	3
Pcub-MSU1_001_000912.1	eggnog	Belongs to the glycosyl hydrolase 31 family	16.008	8.552	40.364	63.453
Pcub-MSU1_001_000058.1	blastp	Homology to Peronospora farinosa predicted protein CAH0485166.1	13.292	6.446	20.772	35.68
Pcub-MSU1_001_000911.1	unannotated	Hypothetical protein of unknown function	0	3	3	0
Pcub-MSU1_001_000910.1	eggnog	Belongs to the glycosyl hydrolase 31 family	24.037	8.25	60.353	78.834
Pcub-MSU1_001_000059.1	blastp	Homology to Peronospora farinosa predicted protein CAH0485166.1	9.04	8.946	20.713	50.301
Pcub-MSU1_001_000909.1	eggnog	domain-containing protein	131	90	274	352
Pcub-MSU1_001_000060.1	eggnog	RNA recognition motif	2	13.785	38.016	27.403
Pcub-MSU1_001_000908.1	eggnog	Prolyl 4-hydroxylase alpha subunit homologues	31.727	37.681	96.694	83.373
Pcub-MSU1_001_000907.1	eggnog	Prolyl 4-hydroxylase alpha subunit homologues	45.739	61.094	87.101	103.793
Pcub-MSU1_001_000906.1	eggnog	Legume-like lectin family	80.69	139.609	278.842	271.096
Pcub-MSU1_001_000905.1	eggnog	Domain present in PSD-95, Dlg, and ZO-1/2	89	65	234	332
Pcub-MSU1_001_000061.1	eggnog	Legume-like lectin family	133	238	558	666
Pcub-MSU1_001_000062.1	eggnog	Legume-like lectin family	86.31	58.391	213.158	274.904
Pcub-MSU1_001_000063.1	eggnog	Prolyl 4-hydroxylase alpha subunit homologues	11.534	28.761	24.916	30.612
Pcub-MSU1_001_000904.1	eggnog	RNA recognition motif	11.675	16.653	25.984	29.597
Pcub-MSU1_001_000064.1	eggnog	Prolyl 4-hydroxylase alpha subunit homologues	0	0	3.445	0
Pcub-MSU1_001_000903.1	eggnog	RNA recognition motif	1.325	1.562	0	0
Pcub-MSU1_001_000065.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008900451.1	2	0	1	1.655
Pcub-MSU1_001_000066.1	blastp	Homology to Phytophthora cactorum predicted protein KAF1773621.1	0	0	0	0
Pcub-MSU1_001_000902.1	eggnog	Short calmodulin-binding motif containing conserved Ile and Gln residues	0	0	0	0
Pcub-MSU1_001_000901.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008900451.1	0	0	0	0
Pcub-MSU1_001_000067.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008900451.1	0	0	1	2.693
Pcub-MSU1_001_000068.1	eggnog	Short calmodulin-binding motif containing conserved Ile and Gln residues	0	0	0	0
Pcub-MSU1_001_000069.1	eggnog	RNA recognition motif	0	1	3	4
Pcub-MSU1_001_000900.1	eggnog	Prolyl 4-hydroxylase alpha subunit homologues	1	0	4.007	4
Pcub-MSU1_001_000899.1	blastp	Homology to Phytophthora cactorum predicted protein KAF1773621.1	1	0	3	5.652
Pcub-MSU1_001_000070.1	blastp	Homology to Phytophthora capsici predicted protein KAG1705345.1	4386	4534	6301	9607
Pcub-MSU1_001_000898.1	interproscan	PTHR33946 domain-containing protein	106.76	167.323	218.165	338.84
Pcub-MSU1_001_000897.1	interproscan	PTHR33946 domain-containing protein	609.24	845.677	1220.835	1609.16
Pcub-MSU1_001_000896.1	interproscan	PTHR33946 domain-containing protein	123	165	94	130
Pcub-MSU1_001_000895.1	eggnog	Putative zinc finger in N-recognin (UBR box)	83	46	103	185
Pcub-MSU1_001_000071.1	eggnog	domain-containing protein	6.45	22.504	34.382	49.376
Pcub-MSU1_001_000894.1	eggnog	domain-containing protein	29.55	60.496	103.618	148.624
Pcub-MSU1_001_000072.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7378189.1	0	0	0	4.338
Pcub-MSU1_001_000893.1	eggnog	Ankyrin repeat	0	2	2.414	0
Pcub-MSU1_001_000073.1	eggnog	Ankyrin repeat	0	0	3.586	3
Pcub-MSU1_001_000892.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7378189.1	12	23	7	29.662
Pcub-MSU1_001_000891.1	eggnog	AMP-binding enzyme	233	225	334	559
Pcub-MSU1_001_000890.1	eggnog	domain-containing protein	2	5	5	9.05
Pcub-MSU1_001_000889.1	blastp	Homology to Phytophthora lilii predicted protein GMF56294.1	5	5	2	4
Pcub-MSU1_001_000888.1	eggnog	Allomyces macrogynus ATCC 38327	0	0	0	0
Pcub-MSU1_001_000887.1	blastp	Homology to Phytophthora lilii predicted protein GMF36283.1	0	0	0	0
Pcub-MSU1_001_000074.1	eggnog	domain-containing protein	0	0	0	0
Pcub-MSU1_001_000886.1	eggnog	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily	0	4	6.335	10
Pcub-MSU1_001_000885.1	unannotated	Hypothetical protein of unknown function	5	6	11	10
Pcub-MSU1_001_000884.1	interproscan	G3DSA:2.30.30.140 domain-containing protein	16	21	37	31
Pcub-MSU1_001_000075.1	eggnog	domain-containing protein	2	4	5	14
Pcub-MSU1_001_000076.1	eggnog	chitobiosyldiphosphodolichol beta-mannosyltransferase activity	40	56	71	92
Pcub-MSU1_001_000077.1	eggnog	chitobiosyldiphosphodolichol beta-mannosyltransferase activity	78	156	146	206
Pcub-MSU1_001_000883.1	eggnog	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily	0	0	1.665	0
Pcub-MSU1_001_000882.1	eggnog	Phospholipase/Carboxylesterase	153	250	344	415
Pcub-MSU1_001_000078.1	eggnog	domain-containing protein	103	65	234	363.95
Pcub-MSU1_001_000881.1	eggnog	Holliday junction DNA helicase ruvB N-terminus	13	38	85	130
Pcub-MSU1_001_000079.1	eggnog	Tetratricopeptide repeat	1	0	3	7
Pcub-MSU1_001_000880.1	eggnog	Seems to be required for maximal rate of protein biosynthesis	75	199	214	316
Pcub-MSU1_001_000080.1	interproscan	PTHR13219 domain-containing protein	54	30	81	117
Pcub-MSU1_001_000081.1	eggnog	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH	131	177	246	244
Pcub-MSU1_001_000879.1	eggnog	ATPase family associated with various cellular activities (AAA)	66	135	252	364
Pcub-MSU1_001_000878.1	blastp	Homology to Peronospora destructor predicted protein CAI5720822.1	2	0	2	2
Pcub-MSU1_001_000082.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6579890.1	2	0	4	7
